,Medulloblastoma,Medulloblastoma,Medulloblastoma,Medulloblastoma,Medulloblastoma,Medulloblastoma,Medulloblastoma,Medulloblastoma,Medulloblastoma,Medulloblastoma,Medulloblastoma,Medulloblastoma,Medulloblastoma,Medulloblastoma,Medulloblastoma,Medulloblastoma,Medulloblastoma,Medulloblastoma,Medulloblastoma,Medulloblastoma,Medulloblastoma,Medulloblastoma,Medulloblastoma,Medulloblastoma,Medulloblastoma,Medulloblastoma,Medulloblastoma,Medulloblastoma,Medulloblastoma,Medulloblastoma,Medulloblastoma
miR-1298-5p,83,0,4,1811,0,0,24,69,3360,1,0,35,0,17,57,0,2,29,45,0,167,0,5,22,2,3,95,55,5,66,157
miR-1299,9,20,125,81,28,24,187,127,70,28,12,26,29,222,34,272,14,22,93,109,137,327,43,13,27,207,264,247,120,243,308
miR-1301-3p,184,111,115,2293,204,312,216,746,451,165,349,154,703,433,142,173,520,156,203,78,253,169,232,263,134,344,153,530,857,407,385
miR-1301-5p,2,7,7,42,13,12,6,18,15,8,17,4,20,18,4,21,11,7,3,5,21,17,14,5,10,15,10,20,14,14,14
miR-1302,1,3,2,13,3,2,2,3,2,2,0,1,6,2,2,8,4,1,1,4,1,1,8,5,4,3,4,10,2,11,4
miR-1303,12,43,71,236,158,57,96,80,69,46,182,9,44,72,7,148,44,39,44,17,101,158,38,13,46,146,92,203,284,219,83
miR-1304-3p,10,36,84,144,145,52,61,43,64,40,110,3,24,56,7,413,33,27,58,31,254,283,41,11,28,268,93,177,197,152,60
miR-1304-5p,2,9,18,32,25,24,30,10,12,18,35,1,4,20,1,34,2,14,4,7,20,30,3,4,12,22,42,64,31,49,16
miR-1305,0,4,35,21,0,13,1,4,1,11,51,2,25,4,0,49,7,8,2,15,77,26,58,1,24,24,0,0,7,1,9
miR-1306-3p,18,16,34,72,38,43,56,40,126,22,51,20,23,36,24,12,28,27,39,14,22,39,35,38,12,29,49,72,53,110,56
miR-1306-5p,358,172,360,661,114,396,417,423,834,176,314,393,386,290,321,315,386,361,547,186,240,284,342,506,242,359,279,418,500,577,516
miR-1307-3p,123,138,302,726,164,346,159,347,505,205,430,129,246,233,174,196,138,279,204,183,291,370,327,307,228,263,123,228,426,287,182
miR-1307-5p,118,133,173,432,102,188,109,193,213,107,257,123,150,172,119,194,105,175,160,144,204,253,240,199,134,197,68,171,389,172,123
miR-130a-3p,26657,84576,59862,48013,22339,78178,27128,10754,29785,38291,25688,25741,12467,23932,26541,46427,26630,33645,39065,69355,32242,46522,51599,39748,62313,19846,11882,22739,19408,31185,22783
miR-130a-5p,0,8,12,6,3,9,5,0,0,16,14,0,0,1,2,5,2,3,1,1,1,3,5,3,5,2,1,7,2,7,1
miR-130b-3p,1773,5941,11222,8095,1986,11698,3485,1873,3928,5997,5961,2786,2644,3368,1943,4273,8110,5158,3044,9119,5586,9399,4689,2801,6055,4573,1475,3806,3810,4532,3401
miR-130b-5p,533,1578,2688,3234,774,2932,1737,551,1263,1785,1125,876,796,1675,803,1620,4707,2278,1156,2362,1531,2506,2083,1000,1576,943,657,1382,956,1504,1451
miR-1321,4,9,13,78,28,20,37,24,38,16,51,4,9,35,5,6,9,11,9,8,6,2,10,6,9,11,63,67,107,58,38
miR-1322,1,7,19,33,43,7,15,18,12,8,25,0,5,17,1,99,7,5,24,1,63,64,6,0,8,71,51,87,114,93,45
miR-1323,2,0,1,6,0,0,1,1,0,0,0,0,0,0,0,5,1,0,1,0,2,6,0,0,4,4,1,1,6,1,0
miR-132-3p,419,1447,919,4003,949,1119,600,2023,1565,994,612,470,1450,1167,638,1342,919,894,624,728,737,935,1271,869,1122,639,715,2146,2714,2004,1699
