,Medulloblastoma,Medulloblastoma,Medulloblastoma,Medulloblastoma,Medulloblastoma,Medulloblastoma,Medulloblastoma,Medulloblastoma,Medulloblastoma,Medulloblastoma,Medulloblastoma,Medulloblastoma,Medulloblastoma,Medulloblastoma,Medulloblastoma,Medulloblastoma,Medulloblastoma,Medulloblastoma,Medulloblastoma,Medulloblastoma,Medulloblastoma,Medulloblastoma,Medulloblastoma,Medulloblastoma,Medulloblastoma,Medulloblastoma,Medulloblastoma,Medulloblastoma,Medulloblastoma,Medulloblastoma,Medulloblastoma
miR-643,4,7,22,17,9,13,13,7,14,10,14,6,4,15,1,8,23,12,5,15,14,12,2,6,16,12,8,22,12,23,15
miR-644a,0,0,0,6,1,0,0,1,2,1,0,0,0,1,0,1,0,0,0,0,2,2,0,1,3,1,0,3,0,2,0
miR-645,1,0,8,8,0,0,0,2,0,2,6,0,1,0,1,0,1,0,0,3,2,2,2,2,0,1,1,0,2,0,1
miR-646,0,1,5,18,4,3,5,3,2,1,16,2,0,5,1,8,2,1,0,0,6,15,0,1,7,9,7,10,2,10,3
miR-647,1,0,4,12,5,4,1,0,3,0,3,1,3,1,0,11,2,0,3,1,7,11,4,3,3,5,3,3,9,12,4
miR-648,5,7,11,23,24,13,13,8,8,1,32,2,8,13,1,1,20,6,4,10,9,12,10,4,18,10,8,11,12,7,9
miR-649,3,18,38,95,42,41,72,39,55,31,69,3,8,63,4,103,2,12,29,5,70,79,6,14,11,74,135,163,100,158,86
miR-6499-3p,0,0,0,6,0,0,0,0,1,0,0,0,0,0,0,1,5,0,3,0,1,2,0,0,0,1,2,1,2,2,0
miR-6499-5p,2,2,0,2,2,3,7,0,0,3,3,1,1,3,0,1,0,0,1,0,0,2,3,1,5,1,2,1,19,8,0
miR-650,2,15,41,85,105,21,70,37,54,50,47,5,11,72,6,6,8,5,10,7,8,32,5,10,9,13,136,131,38,68,50
miR-6500-3p,11,12,26,203,11,0,13,30,25,3,9,10,24,19,10,61,2,16,28,1,25,77,2,4,13,40,11,80,45,61,33
miR-6500-5p,1,2,3,6,1,2,1,0,4,1,1,2,1,1,0,11,2,2,2,0,1,7,1,0,5,10,5,5,4,5,2
miR-6501-3p,5,37,68,206,98,43,110,148,132,66,117,5,18,94,16,30,32,27,22,14,33,36,17,16,25,35,123,131,195,135,112
miR-6501-5p,2,14,20,51,35,11,42,45,27,23,50,3,8,44,5,7,8,12,6,3,11,26,8,1,9,12,62,70,76,70,26
miR-6502-3p,1,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0
miR-6502-5p,0,1,0,6,0,0,2,0,2,4,0,0,1,1,0,5,1,0,0,1,2,1,0,3,3,0,1,2,0,4,1
miR-6503-3p,3,16,21,163,56,16,24,106,102,25,197,4,14,62,4,20,6,14,11,3,15,9,21,6,19,9,65,58,63,113,23
miR-6503-5p,1,17,0,5,1,29,7,5,10,30,8,2,3,2,1,3,3,18,6,6,1,8,0,5,14,3,2,7,10,9,4
miR-6504-5p,2,0,5,2,2,1,1,0,0,0,1,0,0,1,0,4,1,2,0,2,1,0,0,0,3,2,0,0,1,1,0
miR-6505-3p,2,3,3,18,1,3,1,1,0,0,3,0,4,2,0,3,4,0,2,12,6,3,5,3,5,5,0,3,3,1,1
miR-6505-5p,0,2,2,15,0,4,0,1,0,2,3,0,2,1,0,1,0,0,0,2,2,3,4,0,4,4,0,6,4,5,0
miR-6506-3p,2,4,10,26,18,23,6,4,25,10,19,1,1,9,3,10,13,6,6,3,9,11,11,10,7,7,17,15,17,49,16
miR-6506-5p,1,2,3,14,4,2,9,9,13,4,7,1,0,8,2,3,1,0,1,7,1,7,4,2,4,1,14,15,19,26,3
miR-6507-5p,2,1,5,18,5,4,10,0,16,2,9,0,2,5,2,2,2,0,2,0,0,6,1,0,1,0,4,15,5,7,2
miR-6508-5p,0,1,4,4,2,0,1,1,1,0,0,0,1,1,1,0,1,3,1,2,1,2,2,0,1,3,3,2,2,3,0
miR-6509-5p,1,0,9,10,11,3,7,9,6,3,2,1,5,10,2,0,2,1,0,3,2,4,0,4,2,0,25,13,17,13,12
miR-6510-3p,1,0,8,5,5,15,5,3,3,4,10,1,7,4,1,12,11,2,9,3,15,8,2,1,6,7,2,1,7,5,1
miR-6511a-3p,46,32,44,135,32,79,24,55,62,32,77,32,52,18,31,78,43,33,48,27,48,54,85,39,21,57,24,70,152,65,51
miR-6511a-5p,11,93,93,346,323,101,262,89,208,99,252,10,33,194,22,75,25,64,55,33,87,127,66,30,42,112,379,410,379,239,165
miR-6511b-3p,49,48,76,191,99,98,42,58,81,52,97,45,69,43,34,150,63,68,73,31,116,116,133,69,45,128,45,96,269,104,47
miR-6513-3p,1,5,8,5,11,0,3,0,4,4,5,0,2,0,0,9,4,0,0,0,1,5,6,0,7,0,2,0,17,1,3
miR-6513-5p,1,0,9,4,0,0,0,0,0,1,1,0,1,0,0,0,4,0,0,0,2,2,2,0,2,1,0,1,5,0,2
miR-651-3p,2,0,2,2,1,0,0,0,0,0,0,1,0,1,0,4,1,0,0,0,1,0,3,0,1,2,3,0,4,0,0
miR-6514-3p,3,2,14,9,3,11,7,3,5,3,2,9,14,0,5,14,4,5,3,4,15,12,6,2,6,10,8,11,13,13,0
miR-6514-5p,1,0,3,10,1,3,1,1,2,1,4,5,0,1,1,4,0,1,1,0,0,4,0,3,3,2,1,2,5,2,2
miR-6515-3p,4,18,17,35,8,33,7,17,26,9,23,15,24,8,5,25,17,13,12,20,24,14,45,11,9,27,5,15,24,22,12
miR-6515-5p,1,2,6,21,8,12,14,7,15,10,13,2,7,18,4,9,4,3,4,6,8,5,4,1,3,5,19,36,10,20,17
miR-651-5p,4,13,8,22,15,3,0,2,1,5,3,4,5,6,1,4,10,0,1,2,20,8,14,2,8,65,2,2,11,1,1
miR-6516-3p,61,156,175,241,96,201,217,111,172,59,298,82,108,182,65,60,214,146,94,166,168,116,161,107,131,315,85,106,168,180,70
miR-6516-5p,239,640,829,1109,458,956,1198,488,923,235,1371,337,561,873,455,518,1153,919,486,620,1005,686,1001,577,613,1335,491,615,852,1018,537
miR-652-3p,4259,1455,2616,16628,910,2408,1009,3506,4469,1276,6020,5694,3079,5114,3039,2635,2574,2087,6656,1107,4906,1939,7998,7859,1657,3874,3016,1939,3930,5185,2387
miR-652-5p,33,29,47,110,23,41,21,35,42,15,137,36,21,67,22,70,40,28,66,15,95,42,104,87,46,63,36,21,42,49,20
miR-653-3p,0,1,0,8,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,2,1,1,2,0,0,1,2,3,1
miR-654-3p,1672,352,83,30,560,189,263,14,104,652,63,450,24,379,866,4,225,373,886,481,845,552,142,860,513,154,147,656,613,78,409
miR-654-5p,169,34,57,69,200,32,35,29,67,41,149,51,10,67,90,21,77,20,97,49,63,43,34,77,36,102,66,148,129,89,120
miR-655-3p,294,70,16,7,95,25,27,0,16,81,4,95,1,62,81,0,39,46,90,133,174,43,17,103,54,20,27,76,94,11,68
miR-655-5p,11,3,3,3,6,4,3,2,0,3,2,3,1,6,4,1,8,5,10,6,6,9,4,2,1,3,3,4,7,4,6
miR-656-3p,118,26,7,7,24,7,5,0,14,30,3,56,0,24,36,1,11,10,35,27,53,18,15,34,24,12,10,38,49,2,15
miR-656-5p,7,2,3,3,9,0,0,0,1,2,2,3,0,8,5,4,4,5,11,4,5,3,1,11,5,11,6,14,13,5,3
miR-657,3,0,4,9,0,1,1,1,2,2,1,1,0,3,0,16,2,0,4,1,4,6,3,0,1,5,4,8,6,3,1
miR-658,7,24,32,50,38,39,24,13,32,23,27,4,26,11,6,19,32,17,20,26,31,47,38,13,23,18,22,17,23,25,17
miR-660-3p,78,34,101,85,198,2569,173,21,756,58,126,115,83,117,201,258,67,135,325,28,191,95,171,20,105,245,150,189,182,114,151
miR-660-5p,1766,591,1673,1861,2067,30609,2381,572,12424,833,1621,1785,1403,1695,3116,3732,822,2145,4515,402,3080,1014,1922,343,1420,3469,2017,3426,2496,2097,2492
miR-661,0,1,8,8,10,1,5,2,2,0,11,2,1,4,0,36,0,2,5,1,8,25,1,0,5,16,10,13,21,9,6
miR-662,4,7,16,15,10,18,12,7,10,6,14,6,1,5,2,11,11,4,3,7,12,23,6,8,12,16,5,4,22,4,8
miR-663b,34,1071,618,732,1823,582,924,218,418,805,2230,21,152,628,33,386,765,378,115,102,339,1061,346,102,327,2146,1174,753,2406,547,584
miR-664a-3p,1185,1271,784,9094,551,1027,1555,1921,1733,486,1882,1713,2187,2324,1136,1252,1243,1466,1756,838,738,656,1313,1738,485,1570,1431,6273,2270,2939,1811
miR-664a-5p,486,790,606,8183,1001,1637,2906,3535,1762,389,2811,735,1014,3010,651,506,824,840,626,1074,661,566,815,1230,362,1158,2084,10686,1857,8056,2021
miR-664b-3p,516,1488,1791,4649,2150,3719,1517,2141,1664,708,3294,797,838,1965,515,814,561,940,559,2882,723,1399,1052,1182,773,2386,1173,7701,4161,4107,998
miR-664b-5p,409,1351,1486,4952,2543,3195,2806,1824,1685,616,3100,472,412,2405,442,639,544,710,394,1851,503,1235,1179,1061,653,1230,2218,10941,4161,5538,1539
miR-668-3p,32,7,8,14,16,21,7,2,9,8,8,10,3,15,26,6,8,12,12,9,33,17,12,23,16,10,12,52,86,9,55
miR-668-5p,0,4,7,5,10,3,12,2,3,4,2,0,1,4,0,16,1,0,4,3,10,12,4,1,4,7,3,7,11,3,0
miR-670-3p,13,20,15,56,30,72,18,17,26,22,44,17,26,10,7,18,26,27,19,37,30,39,48,21,30,21,14,7,50,12,18
miR-670-5p,1,1,3,3,0,2,1,1,0,1,3,1,0,1,0,9,3,1,4,1,4,6,1,2,1,3,1,1,15,6,3
miR-671-3p,29,64,127,146,69,88,57,85,59,77,54,15,92,62,29,52,68,47,43,50,41,191,55,50,74,36,55,67,88,91,83
miR-6715b-3p,2,7,14,20,13,14,14,5,8,6,26,5,8,4,1,19,7,12,8,24,12,17,20,4,17,7,1,5,16,9,8
miR-671-5p,25,119,192,395,352,102,234,95,151,167,196,33,168,220,46,95,64,72,56,62,99,125,140,36,78,81,344,386,206,211,194
miR-6716-3p,11,25,22,47,37,44,20,15,27,24,40,13,17,15,9,17,34,18,10,31,44,47,24,10,20,15,15,17,53,23,9
miR-6716-5p,11,69,108,401,466,112,364,101,240,94,213,7,44,240,14,27,23,58,54,36,38,105,28,19,32,34,628,526,206,364,213
miR-6717-5p,2,3,8,31,39,11,27,9,8,14,6,4,0,11,1,7,0,3,5,8,2,6,4,4,6,3,20,35,39,25,18
miR-6718-5p,12,0,1,4,4,3,0,0,0,1,4,2,0,2,2,1,5,2,7,0,6,0,1,0,3,2,2,2,5,1,1
miR-6719-3p,0,2,4,12,1,0,6,1,4,2,4,0,0,6,0,2,0,0,0,0,1,1,0,0,0,2,7,2,5,5,0
miR-6720-3p,1,8,17,10,3,66,5,1,1,2,11,1,5,49,0,19,10,3,2,10,10,24,20,2,16,3,2,3,8,23,12
miR-6720-5p,3,4,25,9,2,81,0,3,1,4,17,4,1,46,1,24,21,0,2,14,2,24,22,3,12,7,2,15,5,17,6
miR-6721-5p,1,3,1,17,5,7,4,3,4,2,13,2,5,5,0,1,4,7,2,1,7,4,6,2,2,4,8,7,6,7,4
miR-6722-3p,24,123,278,403,641,196,242,104,186,144,324,29,75,238,20,367,121,64,114,168,342,528,274,31,94,302,413,407,310,267,197
miR-6722-5p,5,13,21,58,25,22,27,11,21,16,51,4,7,19,6,17,13,21,13,13,16,24,9,5,9,7,21,52,34,31,17
miR-6723-5p,25,33,30,19,43,23,32,36,41,28,55,37,54,12,28,149,21,31,55,31,103,75,46,39,38,167,51,153,215,184,46
miR-6726-3p,31,19,80,123,15,38,58,49,41,23,42,53,60,39,58,63,88,99,71,32,55,69,50,48,37,86,19,38,60,74,48
miR-6726-5p,14,149,237,512,678,235,384,117,250,134,329,19,59,365,25,170,83,89,126,31,133,273,66,21,73,213,663,639,364,377,290
miR-6727-5p,620,4001,6944,5209,7493,4252,2969,2272,2431,7319,11171,516,2028,2172,672,4817,3373,3625,1433,6513,5585,10043,5984,1268,4079,10253,4066,2511,14965,2323,1694
miR-6728-3p,2,7,10,27,7,16,7,3,9,6,25,6,2,2,3,29,15,3,10,10,27,28,12,5,4,18,5,13,21,31,9
miR-6728-5p,2,8,16,48,50,15,41,11,25,10,26,0,2,30,0,4,1,4,6,1,9,22,2,3,5,8,56,67,40,43,25
miR-6729-3p,8,16,35,41,37,32,17,19,27,27,32,9,9,18,11,38,20,19,18,32,35,73,40,16,25,28,14,32,48,23,30
miR-6730-5p,1,8,5,38,53,16,32,13,25,13,15,2,6,21,0,4,3,1,4,0,12,11,1,3,7,4,47,66,37,24,25
miR-6731-3p,1,8,7,16,22,9,8,3,7,5,12,4,4,1,2,7,6,5,3,5,5,11,2,0,2,5,4,7,4,12,7
miR-6731-5p,1,3,2,37,30,6,23,11,16,5,18,2,7,9,0,4,0,3,2,6,2,11,3,1,6,10,40,23,20,37,15
miR-6733-3p,0,0,2,1,6,7,0,1,3,0,3,0,2,0,0,1,1,0,4,1,4,2,1,2,1,4,0,3,8,2,3
miR-6733-5p,0,0,2,9,1,0,2,3,0,0,0,0,0,0,1,11,0,1,1,5,3,3,3,7,3,3,1,3,7,2,6
miR-6734-3p,2,4,14,20,15,4,8,11,21,8,7,3,9,5,3,15,8,4,6,10,18,25,8,7,11,17,8,11,39,10,6
miR-6734-5p,4,20,22,100,99,29,84,14,52,31,46,6,12,86,4,13,11,9,12,18,10,42,7,9,11,16,99,120,69,98,45
miR-6735-3p,0,6,8,31,9,10,7,8,9,5,11,1,4,6,3,15,3,3,4,1,5,21,8,2,9,14,8,14,15,11,5
miR-6735-5p,11,68,49,277,140,79,92,60,124,26,108,3,18,101,2,26,1,13,22,21,27,32,9,6,11,35,138,262,144,155,101
miR-6736-3p,1,4,12,18,12,12,6,2,6,2,16,3,8,4,3,10,11,9,3,6,13,26,9,3,11,11,1,7,10,6,2
miR-6736-5p,2,13,15,66,39,14,35,9,29,7,25,2,4,44,2,13,6,5,7,1,10,23,9,0,1,14,53,57,36,56,31
miR-6737-3p,1,7,6,10,2,6,2,7,3,4,12,3,13,2,2,21,1,2,4,5,10,4,8,1,4,5,5,2,17,12,5
miR-6737-5p,3,2,7,16,36,2,6,5,2,3,9,0,2,16,1,16,1,5,4,2,18,20,3,2,0,15,25,29,14,24,8
miR-6738-3p,1,0,3,5,1,2,0,6,5,1,4,1,0,2,1,16,5,6,6,4,9,1,6,3,5,9,3,2,4,14,5
miR-6738-5p,43,246,319,372,788,211,387,121,206,232,448,50,106,307,29,71,118,216,102,241,276,399,262,48,120,253,560,462,555,288,214
miR-6739-3p,0,1,5,6,0,2,1,2,1,0,4,3,0,0,0,2,0,2,0,1,2,0,2,2,1,5,0,0,5,3,0
miR-6739-5p,2,5,12,40,12,6,36,13,18,10,14,1,3,26,3,5,4,6,5,5,7,8,5,0,7,8,30,31,26,26,16
miR-6740-3p,2,1,2,9,1,2,6,1,2,1,1,0,7,0,4,6,4,7,2,0,7,5,9,0,0,2,4,2,9,1,5
miR-6740-5p,3,17,28,60,125,31,55,12,47,13,24,2,14,42,5,11,3,12,19,9,13,23,5,1,9,12,98,91,35,55,40
miR-6741-3p,1,6,11,31,5,15,7,10,11,4,6,5,10,1,1,4,6,2,4,1,11,4,10,4,3,12,14,5,4,21,9
miR-6741-5p,83,675,1526,17734,22209,1345,11320,6996,11018,458,1750,184,249,9320,242,348,584,314,1553,248,350,594,359,137,611,960,23097,11544,2270,10101,9510
miR-6742-3p,0,1,1,6,0,0,2,4,0,0,3,0,0,1,0,1,0,4,0,0,4,1,1,2,1,1,0,3,1,0,5
miR-6742-5p,6,29,43,77,98,93,83,28,61,38,98,19,33,44,10,22,32,29,27,40,40,44,53,15,37,35,50,71,63,52,50
miR-6744-3p,2,0,6,2,3,7,1,0,0,0,2,0,3,0,1,6,1,1,2,4,6,11,1,3,0,9,3,3,9,5,4
miR-6744-5p,5,30,24,138,104,33,130,35,56,31,91,3,9,83,8,15,5,8,19,7,16,37,11,8,11,19,186,183,67,79,65
miR-6745,0,7,7,23,69,8,16,9,19,3,19,3,4,18,2,1,1,4,2,4,8,10,4,2,1,4,30,40,25,14,14
miR-6746-5p,49,247,429,1161,1650,414,967,260,676,368,665,55,132,748,53,137,83,184,168,119,202,323,131,85,178,202,1583,1647,857,857,684
miR-6747-3p,12,5,24,61,24,22,16,15,20,4,43,14,17,10,2,49,32,15,9,12,29,43,21,13,11,36,10,31,40,44,19
miR-6747-5p,3,41,67,316,326,74,272,61,187,51,165,3,32,166,5,16,13,32,38,21,23,62,15,13,21,33,422,381,173,248,124
miR-6748-3p,5,11,6,11,5,12,3,4,10,4,12,2,2,3,4,9,14,4,9,8,9,10,6,4,6,6,4,5,6,11,8
miR-6748-5p,1,6,20,59,95,17,55,23,28,25,26,2,8,48,5,7,2,8,1,3,7,14,7,2,3,7,107,101,46,50,39
miR-6750-3p,0,2,13,34,26,10,12,5,5,9,23,3,7,3,4,26,8,3,4,5,13,10,18,5,4,13,14,22,24,19,7
miR-6750-5p,5,14,21,124,64,33,54,31,43,12,39,7,8,51,1,13,10,16,8,10,20,21,11,4,9,14,92,106,81,48,38
miR-6751-3p,2,1,4,9,2,1,3,1,6,2,3,0,1,0,1,14,1,0,4,3,3,6,10,1,2,2,3,11,11,2,3
miR-6751-5p,0,5,7,33,25,4,20,8,8,1,14,0,0,9,2,7,3,2,9,4,5,15,5,5,2,9,15,21,13,14,11
miR-6752-5p,0,0,0,0,2,0,2,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,2,0,0,2,2,1,2,1,0
miR-6753-3p,0,0,2,7,4,1,2,3,2,0,0,0,1,0,2,10,4,5,1,2,7,9,7,5,2,7,1,8,4,2,2
miR-675-3p,1,3,2,3,18,2,1,0,1,12,0,1,0,1,0,6,2,0,0,2,62,3,1,0,5,4,2,1,3,1,4
miR-6754-3p,3,3,5,4,3,2,2,1,0,2,6,1,1,1,0,4,1,2,6,0,10,1,4,1,3,9,1,4,8,1,0
miR-6754-5p,6,64,130,310,417,66,281,75,116,76,192,11,40,221,5,82,27,45,38,22,55,137,15,10,36,107,533,337,273,196,142
miR-6755-3p,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,3,3,0,0,0,4,0,0,0,0,1,0,2,2,6,1
miR-6755-5p,1,1,3,18,2,5,11,12,2,0,4,1,1,3,0,2,2,1,3,2,0,8,0,1,0,2,6,11,14,9,8
miR-675-5p,1,4,8,28,30,6,25,6,12,6,11,0,4,10,1,7,1,1,1,1,25,17,1,2,7,9,43,42,28,22,21
miR-6756-5p,310,2900,3225,5887,8184,2259,5777,2233,3409,2632,5180,265,1477,3965,662,1012,1117,2049,1554,1063,1903,4461,1611,735,1249,3212,8668,6614,6286,4570,4124
miR-6757-3p,1,2,1,15,0,1,3,0,9,0,1,1,0,0,1,4,2,1,1,4,2,8,2,3,1,5,2,7,13,7,0
miR-6757-5p,7,32,57,272,285,48,201,71,128,76,129,8,19,141,9,2,15,30,23,16,22,49,18,8,14,26,267,345,136,164,122
miR-6758-3p,3,4,1,20,0,5,1,1,7,1,6,3,6,3,2,3,0,0,2,3,2,8,0,1,3,2,3,6,6,12,1
miR-6758-5p,3,9,8,37,31,12,26,11,23,6,13,0,6,27,1,2,0,8,2,1,13,7,2,4,4,3,45,66,14,26,18
miR-6759-3p,0,0,4,19,4,8,3,6,6,5,5,0,0,3,3,8,2,0,4,1,3,6,3,2,1,11,4,17,4,11,7
miR-6759-5p,0,0,3,20,13,1,15,6,14,5,9,3,1,9,0,8,1,1,4,1,6,8,3,0,5,3,17,15,12,27,5
miR-6760-3p,10,10,8,22,15,24,12,5,18,4,23,9,18,5,4,25,9,5,15,11,12,38,10,9,4,14,5,21,15,18,23
miR-6760-5p,27,90,122,536,528,143,429,134,281,132,316,22,54,291,22,24,50,54,73,51,55,115,46,30,58,57,647,756,372,418,289
miR-6761-3p,0,0,7,10,0,8,1,4,3,1,1,1,1,0,1,39,2,0,5,1,24,25,0,0,4,21,3,5,10,5,4
miR-6761-5p,1,3,4,7,8,4,4,2,3,1,6,1,8,10,3,4,1,4,2,3,3,6,6,1,5,9,6,6,11,8,4
miR-6762-3p,2,8,10,10,7,4,2,2,6,0,3,1,0,0,0,16,0,1,4,6,4,10,8,2,7,18,0,4,13,6,3
miR-676-3p,1,40,52,22,10,6,3,12,8,6,45,0,5,21,0,54,12,6,4,31,7,35,25,1,26,14,10,2,12,42,3
miR-6764-3p,0,0,7,6,0,1,0,0,0,0,1,1,3,1,0,3,4,0,0,1,0,3,2,0,4,1,0,0,1,3,1
miR-6764-5p,1,2,5,31,8,5,8,3,5,1,5,0,1,8,1,12,0,3,0,0,7,8,4,2,2,8,3,7,10,7,4
miR-6765-5p,8,65,123,298,254,97,238,80,129,72,176,18,32,167,17,99,33,33,62,25,102,119,43,18,34,125,384,404,297,179,152
miR-676-5p,0,2,3,3,1,4,3,0,4,3,3,0,4,1,0,7,4,1,0,4,2,9,3,2,2,3,1,0,5,3,0
miR-6766-3p,4,1,7,13,1,3,1,3,3,3,4,0,6,3,0,3,3,3,0,0,0,6,3,0,2,1,5,5,12,6,1
miR-6766-5p,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,3,1,1,2,2,3,4,0,1,1,6,0,3,6,1,1
miR-6767-3p,4,4,5,11,5,10,3,3,9,3,8,0,11,2,1,8,4,1,3,1,6,12,5,2,10,5,4,4,9,9,0
miR-6767-5p,1,6,9,23,26,9,25,8,21,9,28,4,4,19,3,5,6,6,10,5,6,9,5,5,1,17,28,35,17,21,18
miR-6768-3p,0,5,2,9,2,5,0,1,2,2,2,0,3,2,0,11,2,1,5,2,0,6,1,2,1,9,5,3,11,13,2
miR-6768-5p,5,44,35,108,89,51,69,36,69,29,127,8,19,52,7,33,22,14,17,16,40,62,31,10,27,31,76,119,96,64,56
miR-6769a-3p,2,1,23,20,21,6,9,3,9,3,11,0,7,5,0,34,4,6,5,7,24,28,6,2,5,17,6,18,35,15,7
miR-6769a-5p,8,87,154,404,640,145,336,105,253,106,232,10,33,304,18,25,23,63,37,41,45,124,35,11,47,80,628,635,285,351,236
miR-6769b-3p,4,10,17,40,30,30,12,17,19,14,26,10,11,15,9,15,22,6,13,16,17,28,32,7,12,16,11,16,39,21,12
miR-6770-3p,2,3,9,7,2,4,2,2,7,3,6,2,2,2,2,3,5,1,3,2,1,9,3,3,12,7,1,1,8,1,1
miR-6770-5p,7,3,18,21,8,9,10,6,6,6,20,3,2,13,1,17,1,0,0,0,11,9,5,4,7,4,21,6,11,15,11
miR-6771-3p,7,16,29,21,24,44,12,6,19,8,20,4,15,4,4,9,18,4,13,15,16,22,9,7,13,7,11,7,26,11,5
miR-6771-5p,17,293,371,874,1034,246,688,189,446,231,849,23,138,495,37,254,225,159,107,82,187,338,147,31,103,349,798,749,3830,475,320
miR-6772-3p,2,0,1,13,25,2,2,7,6,1,2,1,10,2,0,4,7,1,1,2,2,6,3,1,0,6,4,4,16,3,4
miR-6772-5p,0,3,27,59,64,9,50,18,24,11,29,0,1,46,1,15,3,13,14,3,12,30,2,1,10,7,92,100,47,47,26
miR-6773-3p,0,0,1,0,1,1,1,0,0,1,0,0,0,1,0,4,3,1,1,2,0,2,2,0,1,2,0,0,1,3,0
miR-6773-5p,0,2,4,12,33,3,8,4,3,2,7,0,3,15,0,2,2,1,1,0,1,2,0,4,2,0,12,17,16,9,2
miR-6774-3p,1,4,6,10,6,8,6,3,8,7,5,1,7,2,3,12,8,1,3,3,6,14,7,3,10,9,4,3,9,4,2
miR-6774-5p,1,2,2,5,0,2,1,2,1,3,1,0,0,1,1,1,0,0,1,1,3,4,1,0,3,2,2,2,3,1,0
miR-6775-3p,12,25,29,122,196,45,55,44,66,31,70,6,19,65,9,96,22,21,38,27,75,106,45,11,23,68,68,126,111,92,58
miR-6775-5p,92,387,740,1884,1758,580,1301,442,862,518,934,97,208,921,107,269,263,315,322,251,300,854,222,155,234,556,1443,1771,1072,1309,787
miR-6776-3p,10,6,14,34,23,29,24,6,15,4,30,9,10,8,5,16,7,13,10,10,22,20,9,10,16,24,13,35,34,40,5
miR-6776-5p,1,46,65,130,223,40,126,30,90,44,134,3,17,98,6,14,8,23,13,5,22,43,9,6,25,33,213,190,91,132,63
miR-6778-3p,0,2,4,2,2,3,1,2,1,2,2,3,2,1,2,3,3,0,0,3,5,3,5,0,1,7,3,2,4,5,1
miR-6778-5p,78,864,1193,3303,4494,1044,3477,868,1874,1180,2531,79,464,2405,119,149,141,605,472,248,435,920,256,138,338,523,4755,4563,1934,2740,1753
miR-6779-3p,1,2,3,12,11,4,13,3,14,6,15,1,0,4,3,7,0,5,6,3,2,11,1,8,1,5,3,12,9,8,9
miR-6779-5p,3,38,61,250,267,56,196,70,125,64,104,5,26,154,7,46,24,48,34,11,42,97,19,15,29,48,276,360,104,174,140
miR-6780a-3p,0,0,5,4,1,0,1,2,0,0,0,0,0,0,0,2,0,0,1,3,3,1,2,2,2,1,0,1,7,0,0
miR-6780a-5p,17,43,40,164,179,96,181,33,122,54,110,8,21,117,10,13,33,47,32,20,32,95,34,12,37,47,249,293,105,110,98
miR-6780b-3p,0,3,6,21,2,2,2,3,2,5,9,10,6,4,3,3,7,6,3,4,7,7,6,5,0,7,3,7,14,6,4
miR-6780b-5p,63,295,2093,3364,15008,646,2212,1814,2899,498,4482,128,186,3417,148,254,1190,178,560,286,245,591,643,189,416,4268,8486,4637,1811,2806,4313
miR-6781-3p,4,2,2,14,0,3,5,3,8,1,0,1,5,4,2,8,5,2,4,1,13,3,7,4,2,14,4,8,4,1,3
miR-6781-5p,205,743,1728,1102,2191,1543,1002,291,883,929,986,255,524,858,251,664,921,794,721,1202,1143,2684,1388,322,885,918,1393,905,805,870,820
miR-6782-3p,1,0,1,6,5,2,6,7,4,2,1,2,2,3,2,21,1,3,0,0,8,10,2,2,1,11,6,5,14,8,4
miR-6782-5p,11,56,84,722,956,108,657,221,427,41,78,12,23,390,9,6,19,26,81,25,11,56,22,10,29,41,1069,513,119,376,496
miR-6783-3p,0,0,1,3,2,1,2,1,3,2,3,1,0,0,0,3,2,0,2,0,2,3,1,0,2,2,2,1,3,0,0
miR-6783-5p,0,1,1,9,0,0,0,0,2,0,4,1,3,2,0,0,1,0,2,1,2,3,0,0,0,0,4,3,6,5,3
miR-6784-5p,12,82,168,286,303,93,175,46,158,84,181,19,30,165,10,181,39,59,67,38,129,278,57,24,48,177,293,244,173,133,99
miR-6785-3p,10,10,21,49,29,49,23,14,33,9,28,8,15,9,9,41,22,18,16,16,41,49,21,16,9,35,18,36,33,27,17
miR-6786-3p,0,1,3,2,3,3,1,5,2,0,3,0,3,1,1,1,2,0,0,0,3,0,0,2,3,3,1,3,5,4,1
miR-6787-3p,0,2,8,12,1,4,1,2,1,1,5,1,0,2,0,31,1,0,1,2,7,9,6,1,6,13,4,13,13,11,1
miR-6787-5p,5,46,37,68,140,27,57,18,45,32,47,4,9,60,1,37,11,13,18,15,22,40,19,4,12,48,114,109,62,81,57
miR-6788-3p,0,1,6,6,4,6,1,1,2,11,1,2,2,0,1,36,2,3,2,5,11,7,7,2,3,15,1,6,9,10,5
miR-6789-3p,6,8,16,36,22,37,21,7,24,12,35,12,13,12,4,51,16,14,18,22,29,97,16,8,12,55,16,23,40,20,8
miR-6789-5p,24,146,157,227,234,141,185,51,95,165,249,24,73,125,4,116,81,98,65,101,138,314,101,33,77,221,1265,102,247,105,99
miR-6790-5p,1,2,5,19,8,0,15,1,6,2,8,1,1,3,2,9,2,3,5,3,4,15,1,2,4,4,19,25,5,11,6
